feature,avg_rank,count,h_rank,l_rank
X52773 - X244366,1.0,1,1,1
X52773 - X1225789,1.0,1,1,1
X244366 - X1225789,1.0,1,1,1
X1307 - X84112,1.0,1,1,1
X1307 - X239935,1.0,1,1,1
X1307 - X1871021,1.0,1,1,1
X1328 - X1494,1.0,1,1,1
X1328 - X1889813,1.0,1,1,1
X1494 - X1889813,1.0,1,1,1
X28118 - X1889813,1.0,1,1,1
X84112 - X1889813,1.0,1,1,1
X818 - X28132,1.0,1,1,1
X818 - X702967,1.0,1,1,1
X28132 - X702967,1.0,1,1,1
X1601 - X249188,1.0,1,1,1
X28118 - X249188,1.0,1,1,1
X39950 - X249188,1.0,1,1,1
X84112 - X249188,1.0,1,1,1
X216816 - X249188,1.0,1,1,1
X1601 - X1572656,2.0,1,2,2
X1539298 - X1572656,2.0,1,2,2
X1307 - X1624,2.0,1,2,2
X287 - X52773,2.0,1,2,2
X287 - X216816,2.0,1,2,2
X52773 - X1871021,2.0,1,2,2
X1308 - X1736,3.0,1,3,3
X1308 - X1871021,3.0,1,3,3
X1604 - X51663,3.0,1,3,3
X1604 - X84112,3.0,1,3,3
X51663 - X84112,3.0,1,3,3
X51663 - X216816,3.0,1,3,3
X1604 - X39950,3.0,1,3,3
X1604 - X1528099,3.0,1,3,3
X1604 - X1871021,3.0,1,3,3
X730 - X817,4.0,1,4,4
X730 - X28037,4.0,1,4,4
X730 - X649756,4.0,1,4,4
X730 - X1297617,4.0,1,4,4
X1282 - X52773,4.0,1,4,4
X1282 - X239935,4.0,1,4,4
X817 - X1624,5.0,1,5,5
X1328 - X1624,5.0,1,5,5
X1624 - X28118,5.0,1,5,5
X1624 - X39950,5.0,1,5,5
X1624 - X1912856,5.0,1,5,5
X1245 - X1494,8.0,1,8,8
X1494 - X28132,8.0,1,8,8
X28132 - X1871021,8.0,1,8,8
X649756 - X1160721,15.0,1,15,15
X817 - X1134687,25.0,1,25,25
X28037 - X1134687,25.0,1,25,25
X28037 - X1889813,25.0,1,25,25
X39950 - X1889813,25.0,1,25,25
X1134687 - X1889813,25.0,1,25,25
X287 - X1328,37.0,1,37,37
X287 - X1604,37.0,1,37,37
X287 - X702967,37.0,1,37,37
X1328 - X1604,37.0,1,37,37
