feature,avg_rank,h_rank,l_rank
X732,58.67213114754098,20,91
X67827,63.252747252747255,2,136
X1254,64.3804347826087,2,100
X190721,64.8695652173913,4,90
X1134687,65.07142857142857,30,128
X631220,66.16939890710383,55,80
X1476577,67.52717391304348,2,206
X249188,67.91208791208791,3,102
X502558,68.5054347826087,23,226
X1834196,69.36413043478261,3,262
X582,69.47252747252747,20,89
X730,72.80327868852459,18,183
X1423,72.98360655737704,36,102
X1624,74.73076923076923,44,112
X1579,74.79781420765028,34,106
X1834205,76.21195652173913,6,104
X43675,76.3913043478261,10,146
X1871034,76.41847826086956,36,152
X208479,76.95652173913044,15,223
X2026240,80.5163043478261,3,205
X1283,80.67391304347827,8,132
X1313,82.69945355191257,57,265
X1805478,83.44808743169399,51,134
X246787,85.95652173913044,34,181
X1407493,86.7663043478261,27,133
X28141,89.13586956521739,34,144
X1326,90.7663043478261,33,262
X712411,91.9945652173913,52,244
X399726,94.47826086956522,12,166
X35760,95.40217391304348,37,150
X1812934,96.29891304347827,48,260
X185008,97.84782608695652,57,128
X1681,99.38586956521739,57,253
X39488,99.44021739130434,61,262
X208224,100.77717391304348,35,223
X197,103.22282608695652,56,263
X38289,103.34782608695652,61,220
X67824,103.44021739130434,51,160
X47678,104.82608695652173,74,268
X54291,105.80978260869566,38,195
X548,106.58695652173913,43,162
X712357,107.85326086956522,52,239
X546,110.3913043478261,53,222
X1295,110.65760869565217,55,148
X74426,111.22282608695652,49,251
X562,112.25,69,266
X29385,113.80978260869566,56,255
X1692238,113.84782608695652,53,195
X713030,115.66847826086956,62,260
X1147149,115.79891304347827,48,236
X569,116.4836956521739,57,261
X1805714,116.56521739130434,78,269
X1680,117.86413043478261,80,258
X1147148,119.66847826086956,56,138
X1827481,120.35326086956522,60,223
X1349,121.16847826086956,68,220
X55884,121.46195652173913,57,194
X1655645,124.54347826086956,70,207
X1358,124.84782608695652,71,266
X1281,125.04891304347827,75,181
X28131,125.15760869565217,70,249
X1471761,130.04347826086956,80,262
X1649239,130.19565217391303,62,149
X1042156,130.5923913043478,81,262
X1019,132.7608695652174,77,230
X1852373,133.28804347826087,75,258
X1613,133.60326086956522,62,219
